i_epi,Horizon,accu_rewards,time_elipse,loss
9216,765,252.0,978.7133817275366,6.81230354309082
9217,649,294.0,978.7850218057632,13.407539367675781
9218,852,462.0,978.8738873918851,19.940757751464844
9219,890,546.0,978.9655453165373,6.809076309204102
9220,713,399.0,979.0409227291743,10.081831932067871
9221,876,420.0,979.1306404789289,26.485000610351562
9222,905,504.0,979.2250527222951,16.68648910522461
9223,899,588.0,979.316281747818,6.817708492279053
9224,634,399.0,979.384477241834,3.5411088466644287
9225,656,399.0,979.4539304176966,0.27175796031951904
9226,815,483.0,979.5385717352232,16.629180908203125
9227,567,189.0,979.6008934617042,6.804935932159424
9228,428,252.0,979.6510726292928,6.867060661315918
9229,694,357.0,979.7248735586802,6.8052449226379395
9230,699,399.0,979.7999813318253,13.409648895263672
9231,860,399.0,979.889231900374,13.359986305236816
9232,799,504.0,979.9724595705668,6.81072998046875
9233,927,567.0,980.0675068616868,16.630863189697266
9234,800,336.0,980.1508782068888,26.577177047729492
9235,897,525.0,980.2425346414249,6.814003944396973
9236,633,252.0,980.310678478082,10.090370178222656
9237,838,336.0,980.3960704008738,19.89606285095215
9238,389,231.0,980.4427161931992,10.080636024475098
9239,709,441.0,980.5171232064565,6.80755615234375
9240,692,315.0,980.5907513976097,6.800644874572754
9241,714,336.0,980.666635509332,16.67456817626953
9242,655,231.0,980.7382258971533,3.538175344467163
9243,848,399.0,980.8268225709597,10.085217475891113
9244,554,315.0,980.8876504858334,3.538888454437256
9245,814,483.0,980.9705007831255,16.628047943115234
9246,421,189.0,981.0197158734004,13.403112411499023
9247,779,399.0,981.1013352751731,13.35764217376709
9248,854,399.0,981.189859131972,3.5375218391418457
9249,466,189.0,981.2433260520299,16.634490966796875
9250,943,420.0,981.3392243345578,6.813399314880371
9251,432,168.0,981.3897728919983,13.356670379638672
9252,693,378.0,981.4626455624898,26.552967071533203
9253,961,483.0,981.5605979919434,10.129095077514648
9254,898,399.0,981.6529997547467,3.5402791500091553
9255,687,315.0,981.7280924638112,3.5385327339172363
9256,863,441.0,981.8169539133708,3.586798906326294
9257,887,420.0,981.9073600729306,6.804628372192383
9258,943,525.0,982.0036626974742,13.362470626831055
9259,920,504.0,982.0968858321507,10.08913516998291
9260,855,420.0,982.1845572034518,13.43209457397461
9261,820,378.0,982.2702672878901,6.804233074188232
9262,808,378.0,982.3535567084948,6.815826892852783
9263,781,462.0,982.4343060413996,6.801249980926514
9264,886,399.0,982.5249178091685,6.8038105964660645
9265,862,504.0,982.6138447205226,6.87005615234375
9266,993,609.0,982.7190310557684,10.080714225769043
9267,733,399.0,982.7970134178797,29.783309936523438
9268,674,378.0,982.8695122679075,13.363983154296875
9269,736,441.0,982.9463246941566,0.25699469447135925
9270,671,357.0,983.0176096876462,16.697540283203125
9271,662,378.0,983.0887943426768,10.08940601348877
9272,668,336.0,983.1597411870956,6.805072784423828
9273,689,378.0,983.2325679898262,19.94612693786621
9274,904,504.0,983.3246424555779,13.389543533325195
9275,727,294.0,983.4013086517651,0.2590637803077698
9276,931,525.0,983.4970689574877,13.355008125305176
9277,843,399.0,983.5846508224805,13.362937927246094
9278,841,357.0,983.6723631779353,6.807321071624756
9279,333,189.0,983.714925344785,6.81352424621582
9280,806,378.0,983.7967403531075,16.73600196838379
9281,489,210.0,983.8521258155505,3.5355288982391357
9282,916,504.0,983.9463882406552,6.810622215270996
9283,883,483.0,984.0369357864062,6.804039478302002
9284,878,420.0,984.1282207171122,10.081933975219727
9285,814,441.0,984.2129532853762,13.36317253112793
9286,719,378.0,984.2881155729294,6.806446552276611
9287,599,315.0,984.3531408786773,6.812618255615234
9288,1033,525.0,984.4572426597277,10.082955360412598
9289,565,378.0,984.5189379811287,16.64130210876465
9290,850,357.0,984.6063030958176,6.808897495269775
9291,702,357.0,984.6820083498955,6.804359436035156
9292,678,357.0,984.7549955129623,6.8084564208984375
9293,521,315.0,984.8139393130938,10.081043243408203
9294,660,420.0,984.8851600130399,13.365198135375977
9295,879,441.0,984.9752594987551,16.640106201171875
9296,560,273.0,985.036488199234,6.808589935302734
9297,930,504.0,985.1307255585988,0.24723519384860992
9298,941,483.0,985.2276697675387,3.52750301361084
9299,674,399.0,985.2998765985171,10.08647346496582
9300,645,399.0,985.3693834861119,6.812397003173828
9301,1092,630.0,985.480167222023,13.364219665527344
9302,602,315.0,985.5484831412633,3.534512519836426
9303,845,441.0,985.6353579123814,6.805983543395996
9304,637,336.0,985.705548385779,6.832914352416992
9305,510,252.0,985.7627163449923,3.526669979095459
9306,638,231.0,985.8309888680776,13.36332893371582
9307,624,210.0,985.8977938930194,6.8311357498168945
9308,893,567.0,985.989582101504,10.088236808776855
9309,863,462.0,986.0795181949933,16.709197998046875
9310,879,525.0,986.1703593214353,6.805549144744873
9311,685,399.0,986.2435060660044,16.6500244140625
9312,725,399.0,986.3202436168989,13.365776062011719
9313,804,399.0,986.4039570013682,10.088808059692383
9314,722,462.0,986.4805535236994,13.368096351623535
9315,821,420.0,986.5661150693893,3.523287534713745
9316,706,378.0,986.6415767033894,6.807187557220459
9317,522,252.0,986.702159678936,13.366106033325195
9318,936,483.0,986.7986571749051,3.5253050327301025
9319,683,399.0,986.8711592674256,29.79515266418457
9320,833,399.0,986.9575984279314,6.811138153076172
9321,627,399.0,987.0248256643613,16.685548782348633
9322,768,378.0,987.1045883456866,13.363872528076172
9323,764,336.0,987.1843124747277,10.117892265319824
9324,691,294.0,987.2576181173324,6.812473773956299
9325,813,462.0,987.3415945251783,6.811882495880127
9326,727,378.0,987.4177890062332,13.356576919555664
9327,907,399.0,987.5099367618561,13.357495307922363
9328,798,357.0,987.5927882790565,13.358772277832031
9329,1016,546.0,987.6991533954938,3.5432472229003906
9330,676,357.0,987.7723698178927,19.925798416137695
9331,516,294.0,987.8315087517102,10.114208221435547
9332,836,441.0,987.916800570488,16.647159576416016
9333,717,336.0,987.9935484051705,6.867103099822998
9334,868,399.0,988.0834638873736,3.541943073272705
9335,1001,546.0,988.1859755237897,10.074748992919922
9336,337,189.0,988.2281066894532,10.144453048706055
9337,703,399.0,988.3019808888436,3.536681890487671
9338,670,315.0,988.3725124677022,16.63566017150879
9339,914,483.0,988.4670600016912,26.481952667236328
9340,850,273.0,988.5544427037239,0.2682506740093231
9341,626,315.0,988.6218655784925,23.18033790588379
